"$D1 [mm]","$D2 [mm]","$Lateral [mm]","Freq [GHz]","VSWR(1) []"
4.625,4.625,60,1.8,1.0012309732266
4.625,4.625,70,1.8,1.01007553465017
4.625,4.625,80,1.8,1.03664807994287
4.625,4.625,90,1.8,1.0297278740413
4.625,4.625,100,1.8,1.00955015126203
4.625,5.625,10,1.8,1.02170919496798
4.625,5.625,20,1.8,1.01406294538341
4.625,5.625,30,1.8,1.01443282501228
4.625,5.625,40,1.8,1.01480862323454
4.625,5.625,50,1.8,1.00376221933043
4.625,5.625,60,1.8,1.00485944625559
4.625,5.625,70,1.8,1.00621458475839
4.625,5.625,80,1.8,1.01085146086719
4.625,5.625,90,1.8,1.01847837934098
4.625,5.625,100,1.8,1.01062592289389
5.625,-0.4,10,1.8,3.51375984547279
5.625,-0.4,20,1.8,3.54811681801098
5.625,-0.4,30,1.8,3.49999709837234
5.625,-0.4,40,1.8,3.50168219383494
5.625,-0.4,50,1.8,3.45871117216075
5.625,-0.4,60,1.8,3.44675149877614
5.625,-0.4,70,1.8,3.46214324578404
5.625,-0.4,80,1.8,3.48744803160013
5.625,-0.4,90,1.8,3.62615558572752
5.625,-0.4,100,1.8,3.67499839457947
5.625,-0.375,10,1.8,2.97418280855263
5.625,-0.375,20,1.8,3.03292147846728
5.625,-0.375,30,1.8,2.91717061009175
5.625,-0.375,40,1.8,2.90095665365908
5.625,-0.375,50,1.8,2.89838949123105
5.625,-0.375,60,1.8,2.88045060204562
5.625,-0.375,70,1.8,2.88566841344368
5.625,-0.375,80,1.8,2.9138132375467
5.625,-0.375,90,1.8,2.92394051366622
5.625,-0.375,100,1.8,2.9725903646968
5.625,0.625,10,1.8,1.21577433155451
5.625,0.625,20,1.8,1.23873763470954
5.625,0.625,30,1.8,1.22013254549683
5.625,0.625,40,1.8,1.21304399890355
5.625,0.625,50,1.8,1.20519367104346
5.625,0.625,60,1.8,1.19438222819586
5.625,0.625,70,1.8,1.19298313429148
5.625,0.625,80,1.8,1.2087671205361
5.625,0.625,90,1.8,1.21606902152301
5.625,0.625,100,1.8,1.23229527096627
5.625,1.625,10,1.8,1.07665504484446
5.625,1.625,20,1.8,1.07254434771021
5.625,1.625,30,1.8,1.11163379038438
5.625,1.625,40,1.8,1.05945622924775
5.625,1.625,50,1.8,1.05272931780357
5.625,1.625,60,1.8,1.05806942831615
5.625,1.625,70,1.8,1.06255093228961
5.625,1.625,80,1.8,1.057733065413
5.625,1.625,90,1.8,1.0692269475329
5.625,1.625,100,1.8,1.06465040412226
5.625,2.625,10,1.8,1.02714961692985
5.625,2.625,20,1.8,1.02672907066496
5.625,2.625,30,1.8,1.03069428421337
5.625,2.625,40,1.8,1.02179970471675
5.625,2.625,50,1.8,1.01351271334737
5.625,2.625,60,1.8,1.00938284370541
5.625,2.625,70,1.8,1.01194935075554
5.625,2.625,80,1.8,1.12581980220414
