"$D1 [mm]","$D2 [mm]","$Lateral [mm]","Freq [GHz]","S(1,1) []"
2.625,4.625,90,1.8,-0.0305784549601271 + 0.00476874291127841i
2.625,4.625,100,1.8,-0.0251251855287264 - 0.0153630142900042i
2.625,5.625,10,1.8,-0.0295801400546712 - 0.00211721485065447i
2.625,5.625,20,1.8,-0.0373698231620994 - 0.00740207975684448i
2.625,5.625,30,1.8,-0.00400045906884761 - 0.0230565163882379i
2.625,5.625,40,1.8,0.0132385112345188 - 0.0174330576296655i
2.625,5.625,50,1.8,0.0216945023842459 - 0.000883510869439413i
2.625,5.625,60,1.8,0.0135505864904992 + 0.0167663859979636i
2.625,5.625,70,1.8,-0.00876888184781022 + 0.0206099257016438i
2.625,5.625,80,1.8,-0.0149190468941448 + 0.0172206688994882i
2.625,5.625,90,1.8,-0.0309821560763153 + 0.00837637914738903i
2.625,5.625,100,1.8,-0.0471951403901489 - 0.0260348286317816i
3.625,-0.4,10,1.8,-0.182438489669318 + 0.531680467557096i
3.625,-0.4,20,1.8,-0.492838670063486 + 0.229572697535758i
3.625,-0.4,30,1.8,-0.770691543733432 + 0.626289564634213i
3.625,-0.4,40,1.8,-0.259013259304996 - 0.477074783316079i
3.625,-0.4,50,1.8,0.137635382985665 - 0.525796475304596i
3.625,-0.4,60,1.8,0.460774803253478 - 0.287918428565491i
3.625,-0.4,70,1.8,0.52925496161935 + 0.108496009155166i
3.625,-0.4,80,1.8,0.308596943851728 + 0.445622804107166i
3.625,-0.4,90,1.8,-0.0804046795877337 + 0.538273932896568i
3.625,-0.4,100,1.8,-0.425563793109458 + 0.339708902390913i
3.625,-0.375,10,1.8,-0.206734107655987 + 0.441211665901755i
3.625,-0.375,20,1.8,-0.45101531021043 + 0.173039481920503i
3.625,-0.375,30,1.8,-0.445083579777422 - 0.181578133794973i
3.625,-0.375,40,1.8,-0.206526428277445 - 0.432688365971045i
3.625,-0.375,50,1.8,0.149584753631749 - 0.453898743287819i
3.625,-0.375,60,1.8,0.418545168555572 - 0.226291270826269i
3.625,-0.375,70,1.8,0.455429839928785 + 0.128527206833585i
3.625,-0.375,80,1.8,0.244013401456469 + 0.415958754164808i
3.625,-0.375,90,1.8,-0.105050990125447 + 0.471207200887763i
3.625,-0.375,100,1.8,-0.405724212635547 + 0.279948691351418i
3.625,0.625,10,1.8,-0.0764023001536783 + 0.0699143947288046i
3.625,0.625,20,1.8,-0.100748054650284 + 0.00611752520293951i
3.625,0.625,30,1.8,-0.0750725263579779 - 0.0655673822557483i
